1 	4	1	2	6
2	4	1	2	6
3	3	1	2	5
4	3	1	2	5
5	4	1	2	5
6	4	1	2	5
7	1	2	4	6
8	3	1	2	5
9	3	1	2	5
10	3	1	2	5
11	5	2	1	3
12	1	2	4	6
13	1	2	4	6
14	1	2	4	6
15	3	1	2	5
16	3	1	2	5
17	3	1	2	5
18	3	1	2	5
19	3	1	2	5
20	3	1	2	5
21	1	2	6	13
22	2	1	3	13
23	2	1	3	13
24	2	1	3	13
25	2	1	3	13
26	1	2	6	13
27	2	1	3	13
28	2	1	3	13
29	2	1	3	13
30	3	5	7	9
31	3	1	2	5
32	3	1	2	5
33	2	3	12	13
34	2	3	12	13
35	2	3	12	13
36	2	3	12	13
37	2	3	12	13
38	3       5       9       12
39	4	6	9	10
40	2	1	8	12
41	6	10	12	14
42	4	8	11	14
43	2	1	10	11
44	1	2	5	9
45	6	10	12	13
46	6	10	12	13
47	6	10	12	13
48	6	10	12	13
49	4	6	8	9
50	4	5	6	7
51	1	2	3	4
52	2	1	12	13
53	6	10	12	14
54	4	6	7	8
55	6	10	12	14
56	2	1	8	9
57	2	1	12	13
58	6	10	12	13
59	3	5	7	9
60	6	10	12	13
61	5	9	11	12
62	5       9	11      9
63	5	9	11	12
64	5	9	11	12
65	6	10	12	13
66	5	8	9	10
67	2	7	12	13
68	6	10	12	13
69	6	10	12	13
70	4	8	11	13
71	6	10	12	13
72	10	14	16	17
73	12	11	15	16
74	11	10	4	3
75	4	8	11	14
76	10	7	5	8
77	14	11	8	4
78	10	12	14	15
79	9	13	15	16
80	6	10	12	14
81	2	4	7	9
82	4	8	11	14
83	6	10	12	14
84	6	10	12	14
85	4	8	11	14
86	6	10	12	13
87	6	10	12	14
88	4	6	7	8
